Month,Continent,HQ,re1,re2,re3,re4,bm1,bm2,bm3,bm4,pv1,pv2,pv3,pv4,Stage
April,Europe,Germany,Residential,,,,Marketplace,,,,Property Management,Tenant Engagement,,,Seed
April,North America,US,Residential,Commercial,,,,,,,Smart Home,ClimateTech,IoT,,Series A
April,Europe,UK,Commercial,Residential,,,B2B,SaaS,,,Property Management,,,,Seed
May,Europe,Belgium,Residential,,,,,,,,PropFinTech,LegalTech,,,Seed
May,Europe,Ireland,Residential,,,,,,,,PropFinTech,Tenant Engagement,,,Seed
May,North America,US,Infrastructure,,,,B2B,,,,IoT,,,,Seed
May,Europe,UK,Logistic,,,,Marketplace,,,,AR/VR,Smart City,,,Seed
May,Europe,Germany,Commercial,Residential,,,,,,,Smart City,Smart Building,IoT,Electric Vehicles,Seed
May,North America,US,Logistic,,,,B2B,eCommerce Platform,,,Property Management,,,,Seed
May,Europe,Germany,Residential,,,,,,,,Property Sales,,,,Series A
May,Europe,Sweden,Residential,,,,Marketplace,,,,PropFinTech,,,,Seed
May,Middle East,Israel,Commercial,Residential,,,SaaS,,,,PropFinTech,,,,Seed
May,Europe,Spain,Commercial,Residential,,,SaaS,,,,AR/VR,,,,Series A
May,Europe,Norway,Commercial,Residential,,,SaaS,,,,ConTech,,,,Series A
May,Europe,UK,Residential,,,,,,,,PropFinTech,,,,Seed
May,Europe,Denmark,Commercial,Land,Infrastructure,,,,,,Smart Building,HealthTech,,,Series B
May,North America,US,Commercial,Hotel,,,B2B,SaaS,,,HospitalityTech,Smart Building,,,Series A
May,Europe,Germany,Commercial,Residential,,,SaaS,,,,ConTech,,,,Seed
May,Africa,Nigeria,Commercial,Residential,,,Marketplace,,,,PropFinTech,,,,Seed
May,Europe,UK,Residential,,,,SaaS,,,,Tenant Engagement,Property Management,,,Seed
May,Middle East,Israel,Land,,,,B2B,,,,PropFinTech,,,,Seed
May,North America,US,Commercial,Residential,,,,,,,ClimateTech,,,,Series A
May,Europe,Germany,Residential,Commercial,Infrastructure,,SaaS,,,,ConTech,,,,Series A
May,Middle East,UAE,Commercial,,,,,,,,IoT,Property Management,Smart Building,Tenant Engagement,Series A
May,Europe,Lithuania,Residential,,,,Marketplace,,,,PropFinTech,Property Sales,,,Seed
June,North America,Canada,Residential,,,,B2B2C,SaaS,,,ConTech,,,,Seed
June,Europe,France,Residential,,,,,,,,PropFinTech,,,,Seed
June,Europe,France,Residential,,,,B2B,SaaS,,,Property Sales,,,,Seed
June,Europe,Belgium,Residential,,,,B2B,,,,ConTech,Pre-Fab,,,Seed
June,Europe,Germany,Commercial,,,,eCommerce Platform,SaaS,,,AR/VR,,,,Series A
June,North America,US,Commercial,Logistic,,,B2B,,,,Smart City,,,,Series A
June,Europe,UK,Residential,,,,B2B,Marketplace,,,Property Management,,,,Seed
June,APAC,Singapore,Residential,Commercial,,,,,,,IoT,Smart Building,Property Management,,Series B
June,Europe,UK,Residential,Hotel,,,,,,,Property Management,HospitalityTech,,,Series B
June,Europe,Switzerland,Residential,,,,Marketplace,,,,Property Management,,,,Series A
June,Europe,Netherlands,Residential,Commercial,,,,,,,Co-Working,Co-Living,,,Seed
June,Middle East,Cyprus,Residential,,,,eCommerce Platform,,,,HospitalityTech,,,,Seed
June,Europe,UK,Residential,,,,,,,,ClimateTech,Smart Home,,,Series A
June,Europe,UK,Residential,,,,,,,,Smart Home,CleanTech,,,Series A
June,Europe,UK,Commercial,,,,SaaS,B2B,,,Property Management,,,,Seed
June,Middle East,Israel,Residential,,,,Marketplace,,,,Hybrid Letting Platform,,,,Seed
June,Europe,Italy,Residential,,,,,,,,Property Management,PropFinTech,,,Seed
June,North America,US,Residential,,,,Marketplace,,,,Property Management,,,,Series A
June,North America,US,Residential,,,,Marketplace,,,,Property Sales,,,,Growth
June,Europe,France,Residential,,,,B2B,B2C,B2B2C,Marketplace,ConTech,,,,Series A
June,Europe,UK,Infrastructure,,,,SaaS,,,,ConTech,,,,Seed
June,North America,US,Residential,Hotel,,,Marketplace,,,,Hybrid Letting Platform,,,,Seed
June,Europe,Switzerland,Commercial,,,,B2B,,,,PropFinTech,,,,Seed
June,Europe,UK,Commercial,,,,,,,,Smart City,Smart Building,SecurityTech,,Seed
June,North America,US,Residential,Commercial,,,SaaS,,,,Property Management,,,,Seed
July,North America,US,Commercial,Residential,,,,,,,Property Management,Property Sales,,,Seed
July,Europe,Germany,Commercial,,,,B2B,,,,ConTech,Smart City,,,Seed
July,North America,US,Residential,Commercial,,,B2B,SaaS,,,Property Sales,,,,Series A
July,Europe,Slovakia,Residential,,,,SaaS,,,,Property Management,Property Sales,Smart City,,Seed
July,North America,US,Commercial,,,,Marketplace,,,,Co-Working,,,,Series A
July,APAC,Singapore,Logistic,,,,,,,,ClimateTech,CleanTech,,,Seed
July,Europe,UK,Residential,Commercial,,,,,,,ClimateTech,ConTech,Pre-Fab,,Seed
July,Europe,Portugal,Residential,,,,Marketplace,,,,Hybrid Letting Platform,,,,Seed
July,Europe,UK,Residential,,,,B2B,DaaS,,,LegalTech,,,,Series A
July,Europe,Estonia,Commercial,,,,SaaS,,,,Property Management,,,,Seed
July,Europe,UK,Commercial,Residential,,,Marketplace,,,,Property Management,Property Sales,,,Seed
July,Europe,UK,Residential,,,,SaaS,,,,Property Management,IoT,,,Series A
July,Europe,UK,Commercial,,,,Marketplace,SaaS,,,PropFinTech,,,,Seed
July,Oceania,Australia,Residential,,,,B2B2C,Marketplace,,,Property Sales,,,,Seed
July,APAC,India,Commercial,,,,B2B,,,,CleanTech,,,,Seed
July,Europe,UK,Residential,,,,B2B,,,,Property Management,,,,Seed
July,Europe,France,Residential,Commercial,,,,,,,Smart Building,ConTech,,,Seed
July,Europe,UK,Residential,,,,B2B,SaaS,,,PropFinTech,,,,Series A
July,Europe,UK,Commercial,,,,,,,,FinTech,,,,Series A
July,Europe,UK,Residential,,,,B2B2C,,,,Property Sales,,,,Seed
July,North America,US,Hotel,,,,B2C,Marketplace,,,HospitalityTech,,,,Seed
August,Europe,Belgium,Residential,Commercial,,,B2B,Marketplace,,,Property Management,,,,Seed
August,North America,Canada,Commercial,,,,DaaS,eCommerce Platform,,,Smart Building,,,,Series A
August,North America,Canada,Infrastructure,Logistic,,,,,,,IoT,,,,Series B
August,Europe,Switzerland,Commercial,,,,,,,,Smart Building,,,,Seed
August,North America,US,Residential,,,,SaaS,,,,Property Management,,,,Seed
August,Oceania,Australia,Logistic,,,,,,,,Pre-Fab,,,,Series A
August,Middle East,Israel,Infrastructure,,,,SaaS,,,,Smart City,ClimateTech,FinTech,,Series A
August,Europe,UK,Commercial,Residential,,,SaaS,B2B,,,FinTech,,,,Seed
August,North America,US,Commercial,,,,B2B,,,,Recruitment Tech,,,,Seed
August,Europe,UK,Residential,Commercial,,,Marketplace,B2C,,,Property Management,,,,Seed
August,North America,US,Residential,Commercial,,,SaaS,B2B,,,CleanTech,InsurTech,,,Series A
August,Europe,Germany,Residential,,,,B2B,SaaS,,,Property Management,,,,Seed
August,Europe,Finland,Commercial,Residential,,,B2B,SaaS,,,ConTech,,,,Seed
August,Europe,Denmark,Commercial,,,,SaaS,,,,Smart City,IoT,,,Seed
September,Europe,Germany,Residential,,,,SaaS,B2B,,,CleanTech,ClimateTech,,,Series A
September,Europe,UK,Logistic,,,,MaaS,,,,Smart City,IoT,,,Series B
September,Europe,Germany,Commercial,,,,,,,,Smart Building,Property Management,,,Seed
September,Middle East,Israel,Residential,Infrastructure,,,B2C,,,,HealthTech,ClimateTech,CleanTech,,Seed
September,Europe,Italy,Residential,,,,SaaS,,,,ConTech,,,,Seed
September,Europe,UK,Commercial,,,,SaaS,B2B,,,Property Management,,,,Seed
September,North America,US,Residential,,,,Marketplace,,,,HospitalityTech,,,,Seed
September,Middle East,Israel,Residential,,,,B2C,SaaS,,,IoT,HealthTech,,,Series A
September,Europe,UK,Residential,,,,Marketplace,B2B,B2C,,PropFinTech,,,,Seed
September,Europe,France,Commercial,Residential,Hotel,,B2B,SaaS,,,Property Management,,,,Seed
September,Europe,Czech Republic,Commercial,,,,SaaS,B2B,,,Smart Building,Tenant Engagement,IoT,,Series A
