Month,Continent,HQ,re1,re2,re3,re4,bm1,bm2,bm3,bm4,pv1,pv2,pv3,pv4,Stage
February,Europe,France,Residential,,,,B2B2C,,,,PropFinTech,LegalTech,,,Series A
February,Europe,Finland,Residential,Commercial,,,,,,,ConTech,,,,Series A
February,Europe,UK,Commercial,,,,,,,,Smart Building,,,,Series A
February,Europe,Netherlands,Residential,,,,,,,,Smart Building,ClimateTech,,,Seed
February,Europe,UK,Residential,,,,,,,,Property Management,,,,Seed
February,Europe,France,Residential,Commercial,,,SaaS,,,,Smart Building,,,,Seed
February,Europe,Germany,Residential,,,,,,,,Co-Living,,,,Seed
February,Middle East,Cyprus,Residential,,,,SaaS,,,,Hybrid Letting Platform,,,,Seed
February,Europe,Germany,Residential,,,,eCommerce Platform,,,,Property Management,,,,Series B
February,APAC,Hong Kong,Residential,,,,,,,,FinTech,,,,Seed
February,Europe,UK,Commercial,,,,B2B,Marketplace,,,Co-Working,,,,Series A
February,Europe,UK,Residential,,,,,,,,PropFinTech,,,,Seed
February,Europe,France,Commercial,,,,,,,,Smart Building,,,,Seed
February,Europe,Spain,Residential,,,,,,,,Hybrid Letting Platform,,,,Seed
February,Europe,Finland,Residential,,,,,,,,Property Sales,,,,Growth
February,Europe,UK,Residential,,,,B2B2C,,,,ConTech,Property Sales,PropFinTech,,Seed
February,Europe,France,Residential,,,,eCommerce Platform,,,,Co-Living,,,,Series B
February,North America,US,Residential,Commercial,Hotel,,,,,,Smart City,,,,Series A
February,Europe,Germany,Residential,,,,,,,,ClimateTech,Smart Building,,,Seed
February,Africa,Ghana,Commercial,,,,,,,,PropFinTech,,,,Growth
February,Europe,UK,Residential,,,,,,,,PropFinTech,LegalTech,,,Seed
February,North America,US,Residential,,,,,,,,ConTech,Pre-Fab,,,Seed
February,Europe,UK,Residential,,,,,,,,Hybrid Letting Platform,Property Sales,,,Seed
February,Europe,UK,Residential,,,,B2B2C,,,,Property Sales,,,,Seed
February,Europe,Finland,Commercial,,,,,,,,Smart Building,ClimateTech,,,Series A
February,North America,Canada,Residential,,,,,,,,Co-Living,,,,Seed
February,Europe,Germany,Residential,Commercial,,,,,,,PropFinTech,,,,Seed
February,Middle East,Israel,Residential,,,,,,,,SecurityTech,,,,Series A
February,Europe,UK,Commercial,,,,,,,,LegalTech,,,,Seed
February,Europe,UK,Residential,Commercial,,,,,,,PropFinTech,,,,Seed
February,North America,US,Commercial,,,,,,,,Smart Building,ClimateTech,,,Series A
February,Middle East,Israel,Commercial,,,,,,,,Smart City,,,,Seed
February,Middle East,Israel,Commercial,,,,,,,,Smart Building,,,,Series B
February,Middle East,Turkey,Residential,Commercial,,,,,,,Hybrid Letting Platform,,,,Series A
February,Europe,Spain,Residential,,,,,,,,Property Sales,,,,Seed
February,Europe,UK,Residential,,,,,,,,LegalTech,,,,Seed
February,Europe,UK,Residential,,,,eCommerce Platform,,,,PropFinTech,,,,Seed
