S. No.,Month,Stage,Continent,HQ,Type of RE 1,Type of RE 2,Type of RE 3,Type of RE 4,Business Model 1,Business Model 2,Business Model 3,Business Model 4,PropTech Vertical 1,PropTech Vertical 2,PropTech Vertical 3,PropTech Vertical 4
69,February,Seed,Middle East,Israel,Commercial,Residential,,,,,,,PropFinTech,,,
70,February,Seed,Europe,UK,Residential,Commercial,,,,,,,Smart Building,,,
71,February,Seed,Europe,Portugal,Residential,,,,,,,,PropFinTech,,,
72,February,Series A,APAC,Malaysia,Residential,,,,,,,,Property Management,,,
73,February,Seed,North America,US,Residential,,,,eCommerce Platform,,,,Co-Living,,,
74,February,Seed,North America,US,Residential,,,,,,,,Hybrid Letting Platform,,,
75,February,Series A,Europe,France,Residential,Commercial,,,,,,,Property Sales,,,
76,February,Series B,Europe,Germany,Commercial,,,,eCommerce Platform,,,,PropFinTech,,,
77,February,Seed,Europe,UK,Residential,,,,SaaS,,,,Smart Viewing,,,
78,February,Seed,Europe,UK,Commercial,,,,,,,,Hybrid Letting Platform,Property Sales,,
79,February,Seed,Europe,Belgium,Commercial,,,,,,,,Co-Living,,,
80,February,Series B,Europe,Germany,Residential,,,,Marketplace,,,,Hybrid Letting Platform,,,
81,March,Series A,North America,US,Residential,Commercial,,,,,,,Pre-Fab,,,
82,March,Growth,Europe,Switzerland,Residential,,,,,,,,Smart Building,,,
83,March,Seed,North America,US,Infrastructure,,,,B2B,SaaS,,,ConTech,,,
84,March,Series A,Europe,Switzerland,Commercial,Residential,,,,,,,SecurityTech,,,
85,March,Series A,Middle East,Saudi Arabia,Residential,,,,,,,,ConTech,Property Management,,
86,March,Series A,North America,US,Commercial,,,,,,,,ConTech,,,
87,March,Series A,Europe,Germany,Hotel,,,,,,,,HospitalityTech,,,
88,March,Seed,Europe,UK,Residential,,,,DaaS,B2B,B2C,,Property Management,,,
89,March,Seed,Europe,UK,Commercial,,,,,,,,LegalTech,AR/VR,,
90,March,Seed,Europe,Denmark,Commercial,,,,B2B,SaaS,,,Smart Building,ClimateTech,,
91,March,Seed,Europe,Denmark,Residential,Commercial,,,,,,,PropFinTech,,,
92,March,Series A,Europe,Norway,Residential,,,,,,,,Property Management,,,
93,March,Seed,Europe,Germany,Residential,Commercial,,,,,,,Smart Building,,,
94,March,Seed,Europe,UK,Residential,Commercial,,,eCommerce Platform,B2B2C,,,ConTech,,,
95,March,Series B,Europe,France,Residential,,,,,,,,ConTech,,,
96,March,Growth,North America,US,Residential,,,,,,,,Property Management,Smart Building,,
97,March,Series A,Europe,UK,Residential,,,,B2B2C,,,,Property Management,,,
98,March,Seed,Europe,Germany,Commercial,Residential,,,eCommerce Platform,,,,Property Sales,,,
99,March,Series A,Middle East,Israel,Commercial,,,,B2B,,,,ConTech,,,
100,March,Seed,North America,US,Residential,,,,,,,,Smart Building,Pre-Fab,,
101,March,Growth,North America,US,Residential,,,,B2B2C,,,,PropFinTech,,,
102,March,Growth,Middle East,Israel,Commercial,,,,,,,,Smart Building,IoT,Smart City,
103,March,Seed,Europe,UK,Residential,,,,,,,,LegalTech,,,
104,March,Seed,APAC,Singapore,Residential,,,,Marketplace,SaaS,,,Property Sales,,,
105,March,Seed,Europe,Germany,Residential,,,,,,,,PropFinTech,,,
106,March,Seed,Europe,UK,Residential,,,,SaaS,,,,Property Management,PropFinTech,,
107,March,Series A,Europe,Finland,Residential,,,,,,,,Smart Building,ClimateTech,,
108,March,Series B,Europe,Spain,Residential,,,,,,,,HospitalityTech,,,
109,March,Seed,Europe,UK,Residential,,,,,,,,PropFinTech,,,
110,March,Series A,Europe,France,Residential,,,,eCommerce Platform,B2B2C,,,ConTech,,,
111,March,Seed,Europe,Estonia,Commercial,,,,eCommerce Platform,,,,PropFinTech,,,
112,March,Series B,Europe,Netherlands,Commercial,,,,,,,,Tenant Engagement,Co-Working,,
113,March,Seed,Europe,Ireland,Residential,,,,,,,,PropFinTech,,,
114,March,Seed,Europe,Belgium,Residential,,,,B2B,SaaS,Marketplace,,AR/VR,,,
115,March,TBD,Europe,UK,Residential,Commercial,,,,,,,Property Management,PropFinTech,,
116,March,Series A,Oceania,New Zealand,Residential,,,,,,,,Property Management,,,
117,March,Seed,Europe,UK,Residential,,,,,,,,PropFinTech,,,
118,March,Series A,Europe,UK,Commercial,,,,,,,,FinTech,,,
119,March,Seed,Europe,UK,Residential,,,,,,,,Hybrid Letting Platform,,,
120,March,Seed,Europe,UK,Residential,Commercial,,,eCommerce Platform,B2C,,,PropFinTech,,,
121,March,Seed,North America,US,Residential,,,,eCommerce Platform,,,,Hybrid Letting Platform,,,
122,March,Seed,Europe,UK,Residential,,,,,,,,ConTech,,,
123,March,Seed,Middle East,Israel,Commercial,,,,,,,,ConTech,,,
124,March,Seed,Europe,UK,Commercial,,,,eCommerce Platform,,,,Property Sales,,,
125,March,Seed,North America,US,Residential,Commercial,,,SaaS,,,,Property Sales,,,
126,March,Seed,Europe,Ukraine,Commercial,,,,,,,,Co-Living,Smart Building,,
127,March,Series B,Europe,France,Residential,Commercial,Hotel,,,,,,Smart Building,Property Management,,
128,March,Growth,Middle East,Israel,Residential,,,,,,,,IoT,Smart Home,,
129,March,Series A,North America,US,Residential,,,,,,,,PropFinTech,,,
130,April,TBD,Middle East,Israel,Commercial,Hotel,Infrastructure,Logistic,,,,,Smart Building,,,
131,April,Seed,Middle East,Israel,Residential,Commercial,,,,,,,ConTech,IoT,,
132,April,Seed,North America,US,Commercial,,,,eCommerce Platform,,,,ClimateTech,IoT,,
133,April,Series A,Europe,UK,Residential,Commercial,,,,,,,Property Management,Smart Building,ClimateTech,
134,April,Seed,Europe,Spain,Residential,,,,,,,,Co-Living,Smart Home,,
135,April,TBD,Europe,Netherlands,Commercial,,,,SaaS,,,,FinTech,,,
136,April,Seed,North America,US,Residential,,,,Marketplace,,,,Property Sales,PropFinTech,,
137,April,Seed,North America,US,Commercial,,,,Marketplace,,,,ConTech,,,
138,April,Series A,North America,US,Residential,,,,,,,,ClimateTech,ConTech,Smart Home,IoT
139,April,Seed,Europe,Germany,Commercial,,,,Marketplace,,,,ConTech,,,
140,April,Seed,Europe,France,Residential,Hotel,Commercial,,,,,,ClimateTech,,,
141,April,Series A,Europe,Sweden,Commercial,,,,B2B,SaaS,,,Smart Building,ClimateTech,,
142,April,Series A,North America,US,Residential,,,,Marketplace,,,,Property Management,,,
143,April,Series A,Europe,UK,Residential,,,,Marketplace,,,,PropFinTech,,,
144,April,TBD,Europe,Germany,Commercial,,,,SaaS,,,,Analytics,,,
145,April,Growth,Europe,UK,Residential,,,,SaaS,B2B,,,PropFinTech,,,
146,April,Seed,Europe,Netherlands,Commercial,Hotel,Residential,,B2B,,,,AR/VR,,,
147,April,Series A,Europe,France,Residential,,,,,,,,Smart Home,Tenant Engagement,IoT,
